Date,Artist,Venue,City,State,
"Oct. 21, 1998",Twiztid,Club Five,Jacksonville,Florida,
"Oct. 21, 1998",ICP,Club Five,Jacksonville,Florida,
,,,,,
"Mar. 6, 1999",Rob Zombie,Jacksonville Coliseum,Jacksonville,Florida,
"Mar. 6, 1999",Korn,Jacksonville Coliseum,Jacksonville,Florida,
,,,,,
"Nov. 26, 1999",Twiztid,618,Jacksonville,Florida,
"Nov. 26, 1999",ICP,618,Jacksonville,Florida,
,,,,,
"Mar. 25, 2000",The Outsidaz,UNF Arena,Jacksonville,Florida,
"Mar. 25, 2000",Method Man,UNF Arena,Jacksonville,Florida,
"Mar. 25, 2000",Red Man,UNF Arena,Jacksonville,Florida,
,,,,,
"Jul. 28, 2000",One Man Army,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Hot Water Music,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Unwritten Law,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Avail,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",The Suicide Machines,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Good Riddance,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Snapcase,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Long Beach Dub All-Stars,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Jurassic 5,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Mighty Mighty Bosstones,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Green Day,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",MXPX,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Save Ferris,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",NOFX,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 28, 2000",Millencollin,Jacksonville Fairgrounds,Jacksonville,Florida,
,,,,,
"Sep. 11, 2000",(hed) p.e,Edge 2000,Jacksonville,Florida,
"Sep. 11, 2000",Taproot,Edge 2000,Jacksonville,Florida,
"Sep. 11, 2000",Papa Roach,Edge 2000,Jacksonville,Florida,
,,,,,
"Jun. 2, 2001",Myzery,Edge 2000,Jacksonville,Florida,
"Jun. 2, 2001",Blaze Ya Dead Homie,Edge 2000,Jacksonville,Florida,
"Jun. 2, 2001",ICP,Edge 2000,Jacksonville,Florida,
,,,,,
"Jul. 29, 2001",River City High,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",The Vandals,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Jimmy Eat World,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",The Bouncing Souls,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",311,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Less Than Jake,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",H20,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Me First & The Gimme Gimmes,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",The Ataris,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Sum 41,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Fenix TX,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Morgan Heritage,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Esham,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Natas,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Rancid,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Kool Keith,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",Pennywise,USF Soccer Stadium,Tampa,Florida,
"Jul. 29, 2001",AFI,USF Soccer Stadium,Tampa,Florida,
,,,,,
"Oct. 11, 2001",The Melvins,TD Waterhouse Centre,Orlando,Florida,
"Oct. 11, 2001",Tool,TD Waterhouse Centre,Orlando,Florida,
,,,,,
"Dec. 07, 2001",Nelly,UNF Arena,Jacksonville,Florida,
,,,,,
"Feb. 5, 2002",Bob Dylan,Jacksonville Coliseum,Jacksonville,Florida,
,,,,,
"Jun. 27, 2002",Incubus,Jacksonville Coliseum,Jacksonville,Florida,
,,,,,
"Aug. 5, 2002",Something Corporate,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Thursday,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Flogging Molly,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",No Use For A Name,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Guttermouth,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",MXPX,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Mighty Mighty Bosstones,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Hot Water Music,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Tiger Army,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",The Used,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Deviates,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Total Chaos,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Death By Stereo,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Quarashi,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",NOFX,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",New Found Glory,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Lagwagon,Jax Raceways,Jacksonville,Florida,
"Aug. 5, 2002",Bad Religion,Jax Raceways,Jacksonville,Florida,
,,,,,
"Aug. 19, 2002",REO Speedwagon,Orlando World Center Marriott,Orlando,Florida,
,,,,,
"Nov. 9, 2002",Howie Day,King Center,Melbourne,Florida,
"Nov. 9, 2002",Tori Amos,King Center,Melbourne,Florida,
,,,,,
"Feb. 21, 2003",Jeffrey Gaines,Times-Union Moran Theater,Jacksonville,Florida,
"Feb. 21, 2003",Tori Amos,Times-Union Moran Theater,Jacksonville,Florida,
,,,,,
"Jul. 27, 2003",Glass Jaw,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",The Suicide Machines,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Andrew WK,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Face To Face,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Rancid,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Poison The Well,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Yellowcard,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",The Ataris,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Less Than Jake,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",The Starting Line,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Thrice,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",Simple Plan,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",AFI,Jacksonville Fairgrounds,Jacksonville,Florida,
"Jul. 27, 2003",The Used,Jacksonville Fairgrounds,Jacksonville,Florida,
,,,,,
"Mar. 06, 2004",Maroon 5,Jacksonville Arena,Jacksonville,Florida,
"Mar. 06, 2004",John Mayer,Jacksonville Arena,Jacksonville,Florida,
,,,,,
"May 30, 2005",Willie Nelson,Metro Park,Jacksonville,Florida,
"May 30, 2005",Bob Dylan,Metro Park,Jacksonville,Florida,
,,,,,
"Jun. 02, 2007",Melt Banana,Veteran's Memorial Coliseum,Jacksonville,Florida,
"Jun. 02, 2007",Tool,Veteran's Memorial Coliseum,Jacksonville,Florida,
,,,,,
"Aug. 02, 2008",Street Drum Corps,Ford Ampitheatre,Tampa,Florida,
